,Open,High,Low,Close,Volume,Date
2014-07-10 13:30:00,68.5,69.1,67.8,68.2,391000.0,2014-07-10 13:30:00
2014-07-11 13:30:00,68.2,68.7,65.0,65.4,650000.0,2014-07-11 13:30:00
2014-07-14 13:30:00,65.4,68.8,64.5,67.1,1047000.0,2014-07-14 13:30:00
2014-07-15 13:30:00,66.9,69.5,66.6,67.8,2262000.0,2014-07-15 13:30:00
2014-07-16 13:30:00,67.2,67.5,66.7,66.8,469000.0,2014-07-16 13:30:00
2014-07-17 13:30:00,67.3,68.7,67.0,68.2,690000.0,2014-07-17 13:30:00
2014-07-18 13:30:00,66.0,67.8,66.0,67.2,399000.0,2014-07-18 13:30:00
2014-07-21 13:30:00,67.5,68.4,67.5,67.6,394000.0,2014-07-21 13:30:00
2014-07-22 13:30:00,67.7,68.6,67.6,68.0,341000.0,2014-07-22 13:30:00
2014-07-24 13:30:00,68.5,70.7,67.4,69.6,1274000.0,2014-07-24 13:30:00
2014-07-25 13:30:00,70.0,71.3,69.1,70.2,881000.0,2014-07-25 13:30:00
2014-07-28 13:30:00,70.2,70.4,67.3,67.3,603000.0,2014-07-28 13:30:00
2014-07-29 13:30:00,67.5,68.2,64.5,65.2,685000.0,2014-07-29 13:30:00
2014-07-30 13:30:00,65.7,66.9,65.3,65.8,293000.0,2014-07-30 13:30:00
2014-07-31 13:30:00,66.9,66.9,65.1,65.3,357000.0,2014-07-31 13:30:00
2014-08-01 13:30:00,60.8,62.9,60.8,61.8,1027000.0,2014-08-01 13:30:00
2014-08-04 13:30:00,61.5,62.7,61.5,61.7,270000.0,2014-08-04 13:30:00
2014-08-05 13:30:00,61.7,62.4,61.5,62.2,255000.0,2014-08-05 13:30:00
2014-08-06 13:30:00,62.2,62.2,59.0,59.6,605000.0,2014-08-06 13:30:00
2014-08-07 13:30:00,59.8,60.3,57.5,58.0,489000.0,2014-08-07 13:30:00
2014-08-08 13:30:00,57.5,57.6,54.0,55.0,1243000.0,2014-08-08 13:30:00
2014-08-11 13:30:00,56.0,57.0,55.3,56.8,438000.0,2014-08-11 13:30:00
